thermo_state,conform_state,lagtime_index,lagtime_ns,mean,std
0,0,102,196.4,0.06767773376220246,0.0043233280708778205
0,1,102,196.4,0.07972902378888906,0.009795605953564518
0,2,102,196.4,0.05832175005677772,0.003529006419931489
0,3,102,196.4,0.07192720825260447,0.005114985846560476
0,4,102,196.4,0.15280294625308222,0.022087275398057993
0,5,102,196.4,0.24133701691663612,0.018220539694393786
0,6,102,196.4,0.12843457467110925,0.013706448357991593
0,7,102,196.4,0.19976974629869887,0.001451618996205249
1,0,102,196.4,0.06402159109571993,0.00178511256156377
1,1,102,196.4,0.09342803424997113,0.006493538659637428
1,2,102,196.4,0.05945097856433156,0.000896237153979277
1,3,102,196.4,0.07403834195663209,0.0035310916835006724
1,4,102,196.4,0.15110462402213015,0.012334912094407352
1,5,102,196.4,0.23779499989586542,0.009850308350927138
1,6,102,196.4,0.13379672522226999,0.008049414143649429
1,7,102,196.4,0.18636470499307967,0.0008363781458504414
2,0,102,196.4,0.062326953170477054,0.0034634523443505404
2,1,102,196.4,0.09674237347994834,0.0023462734478063166
2,2,102,196.4,0.0659796173495621,0.004542431074863033
2,3,102,196.4,0.087947895688043,0.002672047618545899
2,4,102,196.4,0.13900764505488455,0.006361022402212748
2,5,102,196.4,0.20907631302741894,0.004360788617850566
2,6,102,196.4,0.1416146686533982,0.005342370329707145
2,7,102,196.4,0.19730453357626804,0.003579259797024192
