res,state,lagtime_index,lagtime_ns,mean,std
0,0,104,200.4,0.723106216240979,0.025313846412084815
0,1,104,200.4,0.7092544143199261,0.013477377643528661
0,2,104,200.4,0.6871252489183955,0.016744917622871995
1,0,104,200.4,0.46004966328925256,0.01661163170479579
1,1,104,200.4,0.45475035873624026,0.0075634711704225645
1,2,104,200.4,0.4942819439884454,0.013586582492366566
2,0,104,200.4,0.5926222055591922,0.008709059847785005
2,1,104,200.4,0.5917205076805168,0.00643183922490668
2,2,104,200.4,0.591264186382314,0.011185294426814341
