thermo_state,conform_state,lagtime_index,lagtime_ns,mean,std
0,0,8,201.0,0.05993998314838362,0.001278843477065566
0,1,8,201.0,0.09410377107934834,0.0016539754349702437
0,2,8,201.0,0.06040061912023167,0.0013309605388689013
0,3,8,201.0,0.07920913276299296,0.0016807009808160786
0,4,8,201.0,0.14448136908713766,0.002807459108973445
0,5,8,201.0,0.23349955730145733,0.003481287041612842
0,6,8,201.0,0.1388842667452844,0.0028873163977017383
0,7,8,201.0,0.18948130075516395,0.002473868106935578
1,0,8,201.0,0.059611852539027385,0.0009555215978965595
1,1,8,201.0,0.09412392306393641,0.00130102747327679
1,2,8,201.0,0.06049973733036078,0.0013882056687006552
1,3,8,201.0,0.07902009073085407,0.001549129754483672
1,4,8,201.0,0.14415705622658592,0.0023395662499571582
1,5,8,201.0,0.23357348585835686,0.0020972415046690038
1,6,8,201.0,0.13869542431752024,0.0019253187819756662
1,7,8,201.0,0.19031842993335824,0.002004427415522754
2,0,8,201.0,0.05965038293270167,0.0009200286018953562
2,1,8,201.0,0.09437641128393535,0.0013572812704826104
2,2,8,201.0,0.0606456167232465,0.0010740575013453585
2,3,8,201.0,0.07883336132478554,0.0008854412883798501
2,4,8,201.0,0.1441848944455643,0.00217112768633858
2,5,8,201.0,0.23332802169008782,0.0019543308850840145
2,6,8,201.0,0.13839834371221305,0.0011244413011004142
2,7,8,201.0,0.1905829678874659,0.0024460540123656988
3,0,8,201.0,0.059738378753074216,0.0017017348059457178
3,1,8,201.0,0.09432389036036538,0.0018209513588038717
3,2,8,201.0,0.06083634747339301,0.0011173043215710126
3,3,8,201.0,0.07878958668891478,0.0014425777237050059
3,4,8,201.0,0.1438243160720174,0.002896573397265983
3,5,8,201.0,0.23360918499615024,0.004341599723581403
3,6,8,201.0,0.1383870359173328,0.002642077126628434
3,7,8,201.0,0.19049125973875206,0.0032784114182846146
