thermo_state,conform_state,lagtime_index,lagtime_ns,mean,std
0,0,14,101.0,0.06466307575501286,0.006084957123027295
0,1,14,101.0,0.09169121745238154,0.005428431724233819
0,2,14,101.0,0.06173676554610285,0.008274957850804732
0,3,14,101.0,0.07092472004677003,0.0038708162179271147
0,4,14,101.0,0.15950110489549088,0.0073317213783828826
0,5,14,101.0,0.23099656450105724,0.008320871689114287
0,6,14,101.0,0.13920655601631024,0.005081564583757476
0,7,14,101.0,0.18127999578687434,0.01163038391547891
1,0,14,101.0,0.06224766718788921,0.005739134688804354
1,1,14,101.0,0.0921545862499073,0.0049774279993494265
1,2,14,101.0,0.061603006465540004,0.0071963860813475805
1,3,14,101.0,0.07262569099244731,0.004945015415717133
1,4,14,101.0,0.1566600121484273,0.007593997539670208
1,5,14,101.0,0.2355507645495237,0.007588606687048202
1,6,14,101.0,0.1373558390802566,0.005340362883721896
1,7,14,101.0,0.18180243332600848,0.01157816800638653
2,0,14,101.0,0.057633778366307835,0.004151127105523179
2,1,14,101.0,0.09554252011855575,0.005497876203770711
2,2,14,101.0,0.061524955091682945,0.005640556026161703
2,3,14,101.0,0.0769044775741329,0.005533334035607227
2,4,14,101.0,0.14889329093266285,0.009502438911414677
2,5,14,101.0,0.24041537882091688,0.007117408856970218
2,6,14,101.0,0.1341572050238538,0.0033474323153528302
2,7,14,101.0,0.18492839407188708,0.012148863083630498
3,0,14,101.0,0.054772496941855806,0.0007762072123714677
3,1,14,101.0,0.10231449886742842,0.0035265864969564096
3,2,14,101.0,0.06033415400760846,0.0026478933505886004
3,3,14,101.0,0.08617813943585,0.003466346244042959
3,4,14,101.0,0.13256779923814618,0.005126226586751992
3,5,14,101.0,0.2323441958168149,0.004745549988792069
3,6,14,101.0,0.13428687576498688,0.004946341233721211
3,7,14,101.0,0.19720183992730936,0.008711816152560597
4,0,14,101.0,0.05861780546342519,0.002431771878745261
4,1,14,101.0,0.10445700352951007,0.005360767814889774
4,2,14,101.0,0.061516998449445255,0.002626739094209469
4,3,14,101.0,0.09446038195905149,0.003249037987718699
4,4,14,101.0,0.12480866228840148,0.004093499515678916
4,5,14,101.0,0.21888390121952592,0.010097694350730359
4,6,14,101.0,0.13279070291566408,0.0036399554008227086
4,7,14,101.0,0.20446454417497642,0.0054621921832461555
5,0,14,101.0,0.059301522928181735,0.003367115953311142
5,1,14,101.0,0.09863201024351445,0.003808343474805013
5,2,14,101.0,0.06762126599098163,0.002746120295077717
5,3,14,101.0,0.10151800408424265,0.003833153261049272
5,4,14,101.0,0.12336194185865915,0.0045582479316792325
5,5,14,101.0,0.20582816135323725,0.007007145286125017
5,6,14,101.0,0.1353132997836852,0.005446323868727377
5,7,14,101.0,0.2084237937574979,0.006178694933999124
