Conformation,Plain MD,std,EE,std,HREX,std,REDS,std,OMG8REP,std,OPPC8REP,std
1,0.779347,0.368631,0.706308,0.004932,0.709136,0,0.725106,0,0.718,0.125226,0.7469,0.192173
2,0.553485,0.232137,0.468309,0.003551,0.447189,0,0.405617,0,0.4701,0.080116,0.4286,0.114579
3,0.688854,0.283681,0.595344,0.004258,0.569447,0,0.599214,0,0.575,0.11019,0.6076,0.177835
